drone,image,scaling_factor
20181029_D1_0900_0930,00001.jpg,0.12581857787045844
20181029_D1_0900_0930,00002.jpg,0.125743362875789
20181029_D1_0900_0930,00003.jpg,0.12565520566922794
20181029_D1_0900_0930,00004.jpg,0.1256789625171943
20181029_D1_0900_0930,00005.jpg,0.12561772515956043
20181029_D1_0900_0930,00006.jpg,0.12560175715147748
20181029_D1_0900_0930,00007.jpg,0.12561761636317784
20181029_D1_0900_0930,00008.jpg,0.12548456018624649
20181029_D1_0900_0930,00009.jpg,0.12538233390020753
20181029_D1_0900_0930,00010.jpg,0.12539038989943754
20181029_D1_0900_0930,00011.jpg,0.12539010877711185
20181029_D1_0900_0930,00012.jpg,0.1254153388613265
20181029_D1_0900_0930,00013.jpg,0.12543378641239478
20181029_D1_0900_0930,00014.jpg,0.12535156909304654
20181029_D1_0900_0930,00015.jpg,0.12537982925690477
20181029_D1_0900_0930,00016.jpg,0.12538199665708513
20181029_D1_0900_0930,00017.jpg,0.1253613915983048
20181029_D1_0900_0930,00018.jpg,0.1253587438550641
20181029_D1_0900_0930,00019.jpg,0.12533867291737338
20181029_D1_0900_0930,00020.jpg,0.12535635573304632
20181029_D1_0900_0930,00021.jpg,0.1253672041234689
20181029_D1_0900_0930,00022.jpg,0.12538170084036818
20181029_D1_0900_0930,00023.jpg,0.12538988673810303
20181029_D1_0900_0930,00024.jpg,0.1254106531030084
20181029_D1_0900_0930,00025.jpg,0.12542233272810252
20181029_D1_0900_0930,00026.jpg,0.1253044310125752
20181029_D1_0900_0930,00027.jpg,0.12533591348359355
20181029_D1_0900_0930,00028.jpg,0.1253311912178801
20181029_D1_0900_0930,00029.jpg,0.1253503830555665
20181029_D1_0900_0930,00030.jpg,0.12538261385735916
20181029_D1_0900_0930,00031.jpg,0.12539138182738754
20181029_D1_0900_0930,00032.jpg,0.1254140173110726
20181029_D1_0900_0930,00033.jpg,0.12543614855472077
20181029_D1_0900_0930,00034.jpg,0.12544818546841405
20181029_D1_0900_0930,00035.jpg,0.12547252826612526
20181029_D1_0900_0930,00036.jpg,0.12550419605235733
20181029_D1_0900_0930,00037.jpg,0.1255221106946849
20181029_D1_0900_0930,00038.jpg,0.12554282301587447
20181029_D1_0900_0930,00039.jpg,0.12554444676447385
20181029_D1_0900_0930,00040.jpg,0.12556068446449062
20181029_D1_0900_0930,00041.jpg,0.12556666109073067
20181029_D1_0900_0930,00042.jpg,0.12558862050254468
20181029_D1_0900_0930,00043.jpg,0.12562496473857823
20181029_D1_0900_0930,00044.jpg,0.12563828721212864
20181029_D1_0900_0930,00045.jpg,0.12564845589537793
20181029_D1_0900_0930,00046.jpg,0.12563791005060532
20181029_D1_0900_0930,00047.jpg,0.12568513171001497
20181029_D1_0900_0930,00048.jpg,0.12580148220578566
20181029_D1_0900_0930,00049.jpg,0.12580586401479008
20181029_D1_0900_0930,00050.jpg,0.1258146240464824
20181029_D1_0900_0930,00051.jpg,0.12582051762454227
20181029_D1_0900_0930,00052.jpg,0.12584037011976026
20181029_D1_0900_0930,00053.jpg,0.12592456968078763
20181029_D1_0900_0930,00054.jpg,0.1259502764303933
20181029_D1_0900_0930,00055.jpg,0.12606974231862056
20181029_D1_0900_0930,00056.jpg,0.12608345545160093
20181029_D1_0900_0930,00057.jpg,0.12610136119631243
20181029_D1_0900_0930,00058.jpg,0.12612294178878894
20181029_D1_0900_0930,00059.jpg,0.1261606438293082
20181029_D1_0900_0930,00060.jpg,0.12617049283433274
20181029_D1_0900_0930,00061.jpg,0.12620949108738197
20181029_D1_0900_0930,00062.jpg,0.12620718020662158
20181029_D1_0900_0930,00063.jpg,0.12623592327961106
20181029_D1_0900_0930,00064.jpg,0.12626070287910734
20181029_D1_0900_0930,00065.jpg,0.12629465523179065
20181029_D1_0900_0930,00066.jpg,0.12629718261944253
20181029_D1_0900_0930,00067.jpg,0.12632697164809362
20181029_D1_0900_0930,00068.jpg,0.12634410498971654
20181029_D1_0900_0930,00069.jpg,0.12635455892392738
20181029_D1_0900_0930,00070.jpg,0.12640935853786198
20181029_D1_0900_0930,00071.jpg,0.12641781039084596
20181029_D1_0900_0930,00072.jpg,0.12639357752811672
20181029_D1_0900_0930,00073.jpg,0.12643697025825082
20181029_D1_0900_0930,00074.jpg,0.12645626031265153
20181029_D1_0900_0930,00075.jpg,0.12638350085141825
20181029_D1_0900_0930,00076.jpg,0.12636266490424644
20181029_D1_0900_0930,00077.jpg,0.12642064362880703
20181029_D1_0900_0930,00078.jpg,0.12643120026029245
20181029_D1_0900_0930,00079.jpg,0.1264297681703079
20181029_D1_0900_0930,00080.jpg,0.12643639791124198
20181029_D1_0900_0930,00081.jpg,0.12648500931026171
20181029_D1_0900_0930,00082.jpg,0.1264797490729728
20181029_D1_0900_0930,00083.jpg,0.12645067608094354
20181029_D1_0900_0930,00084.jpg,0.1264546670951532
20181029_D1_0900_0930,00085.jpg,0.1264826000847406
20181029_D1_0900_0930,00086.jpg,0.12649070331453652
20181029_D1_0900_0930,00087.jpg,0.12643739134548812
20181029_D1_0900_0930,00088.jpg,0.12629590859420434
20181029_D1_0900_0930,00089.jpg,0.12632029587354465
20181029_D1_0900_0930,00090.jpg,0.12623232070514398
20181029_D1_0900_0930,00091.jpg,0.1262282086834086
20181029_D1_0900_0930,00092.jpg,0.12621428026446846
20181029_D1_0900_0930,00093.jpg,0.1262233183199132
20181029_D1_0900_0930,00094.jpg,0.12619596089118326
20181029_D1_0900_0930,00095.jpg,0.1261744852692544
20181029_D1_0900_0930,00096.jpg,0.1261888081322026
20181029_D1_0900_0930,00097.jpg,0.12608145880010435
20181029_D1_0900_0930,00098.jpg,0.12598543665985837
20181029_D1_0900_0930,00099.jpg,0.12590233074526774
20181029_D1_0900_0930,00100.jpg,0.1259350692486332
20181029_D1_0900_0930,00101.jpg,0.12594438410307154
20181029_D1_0900_0930,00102.jpg,0.12584138066210696
20181029_D1_0900_0930,00103.jpg,0.12586007858723455
20181029_D1_0900_0930,00104.jpg,0.12579064535156745
20181029_D1_0900_0930,00105.jpg,0.12581430842502492
20181029_D1_0900_0930,00106.jpg,0.12573092129429334
20181029_D1_0900_0930,00107.jpg,0.12563408616702762
20181029_D1_0900_0930,00108.jpg,0.1257353034914267
20181029_D1_0900_0930,00109.jpg,0.12573130037887625
20181029_D1_0900_0930,00110.jpg,0.1257356984645322
20181029_D1_0900_0930,00111.jpg,0.12568802715659433
20181029_D1_0900_0930,00112.jpg,0.12566238684663691
20181029_D1_0900_0930,00113.jpg,0.12572015112421941
20181029_D1_0900_0930,00114.jpg,0.12569575818508602
20181029_D1_0900_0930,00115.jpg,0.12557295643419258
20181029_D1_0900_0930,00116.jpg,0.12557666438101228
20181029_D1_0900_0930,00117.jpg,0.12541183334262124
20181029_D1_0900_0930,00118.jpg,0.1252832667532537
20181029_D1_0900_0930,00119.jpg,0.12531474013177488
20181029_D1_0900_0930,00120.jpg,0.12525150759673667
20181029_D1_0900_0930,00121.jpg,0.1251753406016408
20181029_D1_0900_0930,00122.jpg,0.12516578806366965
20181029_D1_0900_0930,00123.jpg,0.12515165772981018
20181029_D1_0900_0930,00124.jpg,0.12517052166279372
20181029_D1_0900_0930,00125.jpg,0.12519283738715054
20181029_D1_0900_0930,00126.jpg,0.12512143120384808
20181029_D1_0900_0930,00127.jpg,0.12508699707366144
20181029_D1_0900_0930,00128.jpg,0.12514036050264685
20181029_D1_0900_0930,00129.jpg,0.12521077822555077
20181029_D1_0900_0930,00130.jpg,0.1251938566089657
20181029_D1_0900_0930,00131.jpg,0.12521663160010818
20181029_D1_0900_0930,00132.jpg,0.12522052370260703
20181029_D1_0900_0930,00133.jpg,0.12523161142205014
20181029_D1_0900_0930,00134.jpg,0.12525162155288702
20181029_D1_0900_0930,00135.jpg,0.12522932267951656
20181029_D1_0900_0930,00136.jpg,0.12521253895070353
20181029_D1_0900_0930,00137.jpg,0.12515867961028024
20181029_D1_0900_0930,00138.jpg,0.12519139004163413
20181029_D1_0900_0930,00139.jpg,0.125215119456113
20181029_D1_0900_0930,00140.jpg,0.12525358642896767
20181029_D1_0900_0930,00141.jpg,0.12527243964026924
20181029_D1_0900_0930,00142.jpg,0.1252735187361818
20181029_D1_0900_0930,00143.jpg,0.12522111865957042
20181029_D1_0900_0930,00144.jpg,0.12526761430198405
20181029_D1_0900_0930,00145.jpg,0.12524231520341791
20181029_D1_0900_0930,00146.jpg,0.12524836183398905
20181029_D1_0900_0930,00147.jpg,0.12526736789747084
20181029_D1_0900_0930,00148.jpg,0.12525129070427107
20181029_D1_0900_0930,00149.jpg,0.12529202948509696
20181029_D1_0900_0930,00150.jpg,0.1252468440107595
20181029_D1_0900_0930,00151.jpg,0.12521611367102103
20181029_D1_0900_0930,00152.jpg,0.12520361590384418
20181029_D1_0900_0930,00153.jpg,0.12522754827843152
20181029_D1_0900_0930,00154.jpg,0.12522417002279077
20181029_D1_0900_0930,00155.jpg,0.12519717711040812
20181029_D1_0900_0930,00156.jpg,0.1252111700637511
20181029_D1_0900_0930,00157.jpg,0.12536704480266236
20181029_D1_0900_0930,00158.jpg,0.12539756264011742
20181029_D1_0900_0930,00159.jpg,0.12537999465417332
20181029_D1_0900_0930,00160.jpg,0.12535503089700786
20181029_D1_0900_0930,00161.jpg,0.12537642658591658
20181029_D1_0900_0930,00162.jpg,0.12541793947505844
20181029_D1_0900_0930,00163.jpg,0.12542725857574752
20181029_D1_0900_0930,00164.jpg,0.12540882021605473
20181029_D1_0900_0930,00165.jpg,0.12546778429867664
20181029_D1_0900_0930,00166.jpg,0.12547595432659964
20181029_D1_0900_0930,00167.jpg,0.12550295668937986
20181029_D1_0900_0930,00168.jpg,0.12539373269217355
20181029_D1_0900_0930,00169.jpg,0.12537535281560708
20181029_D1_0900_0930,00170.jpg,0.12539261943417998
20181029_D1_0900_0930,00171.jpg,0.125353299447103
20181029_D1_0900_0930,00172.jpg,0.1253672318604936
20181029_D1_0900_0930,00173.jpg,0.1253957123883035
20181029_D1_0900_0930,00174.jpg,0.12535929440893617
20181029_D1_0900_0930,00175.jpg,0.12537901625564515
20181029_D1_0900_0930,00176.jpg,0.12539521154223435
20181029_D1_0900_0930,00177.jpg,0.1254109899039651
20181029_D1_0900_0930,00178.jpg,0.12537082773880365
20181029_D1_0900_0930,00179.jpg,0.1253601368890801
20181029_D1_0900_0930,00180.jpg,0.12532788070613268
20181029_D1_0900_0930,00181.jpg,0.1252922026198188
20181029_D1_0900_0930,00182.jpg,0.1252623028506834
20181029_D1_0900_0930,00183.jpg,0.12524357722335083
20181029_D1_0900_0930,00184.jpg,0.12526887738443684
20181029_D1_0900_0930,00185.jpg,0.12529746874192943
20181029_D1_0900_0930,00186.jpg,0.12532438259449818
20181029_D1_0900_0930,00187.jpg,0.12533821955985316
20181029_D1_0900_0930,00188.jpg,0.12538556505984014
20181029_D1_0900_0930,00189.jpg,0.1254172003333951
20181029_D1_0900_0930,00190.jpg,0.12544549944157338
20181029_D1_0900_0930,00191.jpg,0.12544562295839154
20181029_D1_0900_0930,00192.jpg,0.12547930451060363
20181029_D1_0900_0930,00193.jpg,0.12555985654884966
20181029_D1_0900_0930,00194.jpg,0.1255740276968061
20181029_D1_0900_0930,00195.jpg,0.12556768723011055
20181029_D1_0900_0930,00196.jpg,0.1255684715014645
20181029_D1_0900_0930,00197.jpg,0.12558184801196468
20181029_D1_0900_0930,00198.jpg,0.12560021339307267
20181029_D1_0900_0930,00199.jpg,0.12561415033153805
20181029_D1_0900_0930,00200.jpg,0.1256327494426623
20181029_D1_0900_0930,00201.jpg,0.125656795487104
20181029_D1_0900_0930,00202.jpg,0.12567849575407455
20181029_D1_0900_0930,00203.jpg,0.12565793541771147
20181029_D1_0900_0930,00204.jpg,0.12565289146209058
20181029_D1_0900_0930,00205.jpg,0.12569951701701337
20181029_D1_0900_0930,00206.jpg,0.12571625764462196
20181029_D1_0900_0930,00207.jpg,0.12573287996916577
20181029_D1_0900_0930,00208.jpg,0.12570380629353828
20181029_D1_0900_0930,00209.jpg,0.1257310709144343
20181029_D1_0900_0930,00210.jpg,0.12575966788306078
20181029_D1_0900_0930,00211.jpg,0.12574156285733423
20181029_D1_0900_0930,00212.jpg,0.12576041698151227
20181029_D1_0900_0930,00213.jpg,0.12574185667715615
20181029_D1_0900_0930,00214.jpg,0.1257571741560923
20181029_D1_0900_0930,00215.jpg,0.125737627028502
20181029_D1_0900_0930,00216.jpg,0.12572157752624952
20181029_D1_0900_0930,00217.jpg,0.1257910719562064
20181029_D1_0900_0930,00218.jpg,0.12578738986497764
20181029_D1_0900_0930,00219.jpg,0.12579655252472344
20181029_D1_0900_0930,00220.jpg,0.12582761855024716
20181029_D1_0900_0930,00221.jpg,0.12582734100500712
20181029_D1_0900_0930,00222.jpg,0.12580143454587525
20181029_D1_0900_0930,00223.jpg,0.12579382388880594
20181029_D1_0900_0930,00224.jpg,0.12575543435583014
20181029_D1_0900_0930,00225.jpg,0.12578465461300117
20181029_D1_0900_0930,00226.jpg,0.12575426627529598
20181029_D1_0900_0930,00227.jpg,0.12572474009894963
20181029_D1_0900_0930,00228.jpg,0.12573295259135708
20181029_D1_0900_0930,00229.jpg,0.12569636132587636
20181029_D1_0900_0930,00230.jpg,0.12563955630250304
20181029_D1_0900_0930,00231.jpg,0.12565630900250374
